Song_Name,AVG_Energy,SD_Energy,ZCR_mean,ZCR_sd,Centroid,BW,RollOff,BER_subbass,BER_bass,BER_low_mid,BER_mid,BER_high_mid,BER_treble,Tempo_bpm,TempoLog,Fuerza_Pulso,onset_rate,high_onset_mean,offbeat_ratio,Genero,MFCC_1_mean,MFCC_2_mean,MFCC_3_mean,MFCC_4_mean,MFCC_5_mean,MFCC_6_mean,MFCC_7_mean,MFCC_8_mean,MFCC_9_mean,MFCC_10_mean,MFCC_11_mean,MFCC_12_mean,MFCC_13_mean,MFCC_1_sd,MFCC_2_sd,MFCC_3_sd,MFCC_4_sd,MFCC_5_sd,MFCC_6_sd,MFCC_7_sd,MFCC_8_sd,MFCC_9_sd,MFCC_10_sd,MFCC_11_sd,MFCC_12_sd,MFCC_13_sd
＂Comin_ Home Baby＂  Herbie Mann [RJEjFh2FOzA].wav,0.012296159179824906,0.03201972924893921,0.035977492869578104,0.03148242148591612,2.5103338896750613,3.991466445800642,187.5,0.5604781738816141,0.0675163113461036,0.011425449989965785,0.007171851861100204,0.004129601853708523,0.0031151812985866505,156.25,7.2877,1.0938,4.0333,0.0076,0.1932,Jazz,-47.96007005315489,2.0623580957178005,-0.7642578221397254,10.761217834379334,-0.29887521936719647,7.469940213705441,-3.8053888119627692,5.404114444117665,-4.619309024153239,5.50324030840645,-1.8607027032286116,5.302507823829752,-0.9738471585634305,9.788398254727326,2.902319162376559,4.326709945435285,3.72196319272584,3.431492801924708,3.443485661123234,3.63671195074165,3.7767287858600818,4.621583300574233,4.394304264203592,3.836508197353598,3.879408142243496,4.030948247292948
＂Groove＂ Holmes - ＂Misty＂ [1OKduoWWWsE].wav,0.024835694387143052,0.04173010841740739,0.02968339074712005,0.019488001884872205,1.883430110631666,3.1550755715698546,421.875,0.3731057341629333,0.09251810048666877,0.07982212164465485,0.07484047047829241,0.0031422467258529385,0.0038541524830822604,90.73,6.5034,1.1338,4.4333,0.0187,0.2696,Jazz,-44.028454512275395,8.416660917990614,-3.5221932545203885,9.706027786149104,-9.315663502400767,13.68275352821276,-5.867507870468798,8.214869790958444,-3.6702709354241554,5.332810079526566,-3.2760075128714985,5.64121956919647,-4.041221090614567,16.1238122665218,5.146832797409894,4.628954727843604,5.828790438285544,6.126311947877473,6.017512662303954,5.233555084262323,5.6158927207664355,5.94329834275333,5.38158260858075,6.0665674838333,5.491074013467125,5.097271623177763
1939 HITS ARCHIVE： Little Brown Jug - Glenn Miller [fMWl8ck8XSk].wav,0.008165913143410513,0.02412985608264027,0.03838250546357003,0.03285775260780766,1.9013146142520578,1.8870833267831577,1781.25,0.23375712888798397,0.09132666628561335,0.04606093996414556,0.26970448068251685,0.09810937449659511,0.006519323658257573,93.75,6.5507,0.9761,3.7667,0.075,0.3657,Jazz,-57.21922989304266,15.36907299504377,-15.549894025747047,7.865649527938224,1.118505261290812,5.60138675307323,0.41779666633200524,10.949355958710612,-14.338917666068358,4.457476731564813,-4.9062251086908,0.23149003534136625,-3.201819050155438,15.957792000612905,4.831865609465074,8.642809073971607,3.325839316829162,3.644603819592683,4.306163165079402,3.6233277893548497,3.789913865270424,4.0490374647612315,3.806402018295077,3.902130954265028,4.6485215206276695,4.00877455242223
Art Blakey & the Jazz Messengers - Along Came Betty [CTzRHq_cH5E].wav,0.02922199804101892,0.053984177224956895,0.04623881820202245,0.03630735464000737,2.807597134120333,4.110764707014441,890.625,0.21634257493511055,0.2994518106265438,0.09765381434631969,0.05276100003576552,0.010751239549128142,0.009232060614593177,110.29,6.7852,0.9502,3.2222,0.0439,0.211,Jazz,-34.42504817569204,6.350497672806702,-4.59863395507627,3.735519686292114,-6.882511129182718,10.443112016602212,-8.059156329432087,9.561321325712292,-8.90604993120847,6.557825073647108,-10.873995871127956,3.8292045396693624,-5.548464941467754,10.930081790519985,5.051755616472144,6.161806478504855,4.464494142217635,5.432610108903812,5.206745870677031,5.645493054046024,5.939261368174002,6.141204844235155,5.55102392618302,5.581632905583627,4.329066236007495,4.758844759091781
Art Blakey & the Jazz Messengers - Moanin_ [8TdY6iqV2k0].wav,0.022503247420067703,0.049646459944030025,0.05125268548357225,0.03535978595448154,3.0349332252240893,4.121225306893008,1265.625,0.17530036605968427,0.21507268670092727,0.1272847178940944,0.09187803926179819,0.028504283615117164,0.012867998097573384,127.84,6.9982,1.0504,3.8556,0.085,0.1806,Jazz,-39.2007281074064,6.534190826822946,-5.383976700588917,2.130619432168738,-6.540640030124408,9.851876646825731,-8.635331519739381,4.993971063635342,-9.48635293161854,3.9957949369930557,-9.91112668895422,3.44210857806738,-5.079228175838117,15.72480589633441,6.11609164382935,6.83016609634825,5.338120799578424,4.887694388900148,5.196807388997294,6.234028642520527,6.3748810702706,6.5525868988086895,5.243961882095077,5.209594872094771,5.021967609172624,5.017155328764387
Art Pepper－You_d Be So Nice to Come Home To [xISaCzXYYg8].wav,0.010086879316071145,0.02111516253522452,0.042736924473089605,0.030284989679588446,2.18394117270273,2.7795572175460066,796.875,0.15544115610865739,0.10168713054614643,0.1655550013206091,0.08612730499919058,0.018245141808431408,0.01074973886171478,89.29,6.4804,0.993,4.7111,0.0261,0.3232,Jazz,-52.89825105646465,13.272730636903269,-16.45507460963687,20.039407835927815,-15.009581174877248,11.938051852100342,-5.142334412856292,-2.15995208767632,4.080682965943072,-7.504062932600254,10.994264750693981,-7.289796397641756,5.904739916893025,20.105319715788216,4.369302545195834,5.984277948892947,6.0556777996831155,5.048696714753984,4.211428578812087,3.922338510534665,4.263965338108012,4.065158050971596,4.271700280228741,4.861529647178099,6.063903681569673,5.432591281385681
"Blue Monk, Thelonius Monk [_40V2lcxM7k].wav",0.054470561405183825,0.1036761540860833,0.05870224006371078,0.03809668275200047,2.6548916749662017,3.0452670538496003,843.75,0.19638697267385577,0.25290480040820773,0.06723744124523585,0.03043079755949122,0.03942218589621321,0.027893656373279965,140.62,7.1357,0.9872,3.3889,0.1627,0.2101,Jazz,-36.046493674635364,11.110122817824536,-14.985626742441811,18.579773295881903,-15.98059026238461,11.907440214398822,-8.228806206753843,2.522136720721363,-1.533820396062526,-3.9819935718836215,-0.22466444904965746,-0.6539829551162608,-1.0318017499784868,14.434202963808357,5.048994454640644,4.067365429977286,4.99607365239252,4.737555421257456,4.808336634452128,3.9699679794817793,5.196988554296446,4.020084591211378,4.919060837631495,3.800178797863737,4.225836062099217,4.297222920861375
Bud Powell - Collard Greens and Black Eyed Peas [N76ErzOdk9g].wav,0.015302054757778431,0.030529669897498484,0.024527378042004666,0.019496542004943242,1.6668697161171862,3.071495010545918,562.5,0.26095580749397945,0.2871949113084816,0.0654459176233122,0.016554119241967504,0.004979485308521392,0.0023022546288939973,87.89,6.4576,1.1101,5.4222,0.0091,0.1291,Jazz,-45.96634029093461,8.244550226434434,0.703499304438987,4.402652512701819,-2.302245404342222,3.68163346294618,-3.206742449656807,3.2144712051131847,-5.1797504445441565,3.8051163112217687,-4.827776368546476,5.146557729387328,-1.2434354921142232,12.532231562186352,4.541279265974539,5.003514577485783,5.392365864427718,3.7392098601823456,3.511058734228366,4.21225740408218,4.330910536510021,4.303863710829975,4.288151447446092,5.532771264633652,3.9992755587886495,4.25204663734607
Charlie ＂Bird＂ Parker - Yardbird Suite [HmroWIcCNUI].wav,0.03468998672147118,0.0601722430894761,0.01836176241804645,0.012490117051223115,0.9676724634476306,1.4638058038384212,421.875,0.27295067087357233,0.10705019524573467,0.11514775716514354,0.01834007488811235,0.004737926700753775,1.937781626310909e-4,106.13,6.7297,0.9813,5.1778,0.0273,0.3712,Jazz,-52.279980077787435,19.217842284987075,-12.313789039157982,12.701030451177385,-4.160203267610878,6.337771539260112,-5.764078645374002,8.945265733517159,-3.2984134683406956,4.847400114359752,0.033552915486315796,0.4419728678901203,1.3318448506956106,13.428421283891133,3.6014674562277036,5.683962412852458,3.94944917655289,3.914060747298854,4.086293075766184,3.907295693467552,4.258349977935285,4.766441257443981,4.55997018719318,4.912216365810656,5.417712312391054,5.2097503900718625
Charlie Parker- Confirmation [yXK0pZx92MU].wav,0.03393985343681359,0.06299587504669174,0.0671037522687706,0.02689457190429711,2.8473983775907317,2.974859317904156,2062.5,0.14161811671059638,0.13513048868119357,0.10270790924355969,0.12098906408968964,0.07629377406274832,0.030173437647315726,100.45,6.6503,1.0788,6.0333,0.3149,0.368,Jazz,-32.52674905572541,8.500972557437521,-17.812244860915772,17.987332110886637,-13.09911471757152,12.419016263579024,-9.12731329860392,8.368099196551887,-10.06874717177509,8.368497954697608,-6.597106050573254,3.8830091387769516,-1.091650010235147,13.835153374545051,3.474362600195303,5.912659527088696,3.832434993122042,3.4233336165606336,4.481424833624968,3.971694718217247,5.18306820945099,4.636294053183675,5.584929415407529,5.473440375879094,5.310815647916922,5.303638229935761
